order_id,date,region,product_category,quantity,unit_price,total_amount
ORD10001,2026-04-26,Bursa,Stationery,1,90,90
ORD10002,2026-03-09,Istanbul,Electronics,4,1500,6000
ORD10003,2026-05-01,Bursa,Electronics,1,2000,2000
ORD10004,2026-04-09,Istanbul,Stationery,2,60,120
ORD10005,2026-03-06,Bursa,Electronics,1,3500,3500
ORD10006,2026-03-22,Izmir,Books,3,150,450
ORD10007,2026-05-26,Istanbul,Stationery,2,45,90
ORD10008,2026-03-02,Ankara,Stationery,2,60,120
ORD10009,2026-04-23,Istanbul,Stationery,3,60,180
ORD10010,2026-03-26,Istanbul,Clothing,2,600,1200
ORD10011,2026-05-02,Istanbul,Books,4,120,480
ORD10012,2026-03-14,Izmir,Books,4,120,480
ORD10013,2026-03-09,Ankara,Electronics,3,2000,6000
ORD10014,2026-05-22,Bursa,Stationery,1,45,45
ORD10015,2026-05-11,Ankara,Stationery,4,90,360
ORD10016,2026-05-19,Bursa,Electronics,2,1500,3000
ORD10017,2026-05-09,Izmir,Stationery,3,90,270
ORD10018,2026-03-28,Bursa,Stationery,1,90,90
ORD10019,2026-04-01,Bursa,Stationery,1,60,60
ORD10020,2026-04-08,Istanbul,Books,2,120,240
ORD10021,2026-03-13,Istanbul,Clothing,2,450,900
ORD10022,2026-03-07,Ankara,Electronics,1,1500,1500
ORD10023,2026-04-20,Ankara,Stationery,1,45,45
ORD10024,2026-06-17,Istanbul,Stationery,1,90,90
ORD10025,2026-03-22,Istanbul,Electronics,4,2000,8000
ORD10026,2026-04-02,Izmir,Books,1,120,120
ORD10027,2026-04-02,Izmir,Stationery,4,45,180
ORD10028,2026-06-18,Izmir,Clothing,4,850,3400
ORD10029,2026-04-22,Istanbul,Books,2,150,300
ORD10030,2026-04-22,Ankara,Books,1,200,200
ORD10031,2026-04-26,Bursa,Books,4,200,800
ORD10032,2026-04-13,Izmir,Electronics,3,3500,10500
ORD10033,2026-05-01,Izmir,Books,4,200,800
ORD10034,2026-04-13,Istanbul,Clothing,1,850,850
ORD10035,2026-05-16,Istanbul,Clothing,2,450,900
ORD10036,2026-05-03,Istanbul,Electronics,1,2000,2000
ORD10037,2026-06-20,Ankara,Electronics,3,3500,10500
ORD10038,2026-06-02,Izmir,Books,1,200,200
ORD10039,2026-05-19,Istanbul,Stationery,2,45,90
ORD10040,2026-06-05,Istanbul,Stationery,2,60,120
ORD10041,2026-03-13,Bursa,Electronics,4,2000,8000
ORD10042,2026-06-11,Ankara,Clothing,3,850,2550
ORD10043,2026-04-12,Istanbul,Electronics,2,1500,3000
ORD10044,2026-03-11,Ankara,Books,3,120,360
ORD10045,2026-06-02,Istanbul,Clothing,1,600,600
ORD10046,2026-04-04,Bursa,Books,2,200,400
ORD10047,2026-05-20,Izmir,Stationery,3,60,180
ORD10048,2026-06-05,Ankara,Electronics,4,2000,8000
ORD10049,2026-04-05,Istanbul,Electronics,1,3500,3500
ORD10050,2026-06-04,Izmir,Clothing,3,450,1350
ORD10051,2026-04-05,Izmir,Books,2,200,400
